exercise,have,resp_time,schedule,walk,location,subject_number
1,2,1365041081,1,2,,u49
1,2,1365127349,1,2,,u49
1,2,1365214087,2,2,,u49
1,2,1365295523,2,2,,u49
1,2,1365380404,2,2,,u49
1,2,1365570280,2,2,,u49
1,2,1366164041,2,1,,u49
1,2,1366260047,2,2,,u49
1,2,1367109621,2,1,"43.70731189456981,-72.29060578337602",u49
3,1,1367293252,2,2,"43.70236269565432,-72.28341078913253",u49
1,2,1367202474,2,1,Unknown,u49
1,2,1367906596,2,1,"43.705985547631826,-72.2890841770398",u49
4,1,1368172634,2,1,"43.707106592105006,-72.29073445234907",u49
1,2,1367727824,2,1,"43.70311076889067,-72.29034101735787",u49
1,2,1367978536,2,1,"43.70663268030553,-72.29093938341686",u49
1,2,1368590513,1,1,"43.7059528775494,-72.28796572137354",u49
2,1,1367644493,2,1,"43.707193056579484,-72.29060547563812",u49
1,2,1368413612,2,1,"43.63363720299468,-72.21116594197632",u49
1,2,1368915862,2,1,"43.707252284293055,-72.29079785832832",u49
1,2,1368858834,2,1,"43.7071803391446,-72.29073719551904",u49
4,1,1369107040,2,1,"43.70711113605721,-72.2909021265177",u49
3,1,1369376921,2,1,"43.70714202777838,-72.29071285135586",u49
1,2,1369521470,2,1,"43.706969888401865,-72.29062563084044",u49
1,2,1369944193,2,1,"43.70722963681916,-72.29095809155727",u49
2,2,1365046807,2,2,,u50
2,2,1365130617,2,2,,u50
2,1,1365300109,1,2,,u50
2,2,1365570793,2,2,,u50
2,2,1368594745,2,2,"43.7066062,-72.28694131",u50
3,2,1364965331,1,3,,u51
3,2,1364875236,1,3,,u51
3,2,1365218238,2,1,,u51
3,2,1365130621,2,1,,u51
3,2,1365381962,2,3,,u51
3,2,1365570965,1,3,,u51
3,2,1366167927,2,3,,u51
3,2,1366344028,1,3,"43.70629349,-72.2869845",u51
