happy,happyornot,location,resp_time,sad,sadornot,subject_number
2,1,"29.902628953568637,-90.02758811227977",1370335201.0,1,1,u59
3,1,"29.902807823382318,-90.02733036875725",1370309386.0,1,2,u59
3,1,"29.902913058176637,-90.02728560939431",1370408779.0,1,2,u59
4,1,"29.902975209988654,-90.02755098044872",1370246227.0,1,2,u59
3,1,"29.902869472280145,-90.02734076231718",1370303972.0,1,2,u59
4,1,"29.90317050833255,-90.02723732963204",1370231278.0,1,2,u59
3,1,"29.900103276595473,-90.0295245833695",1370152814.0,1,2,u59
2,1,"29.902892354875803,-90.02732827328146",1370477140.0,1,1,u59
3,1,"29.9028183426708,-90.02741821110249",1370394593.0,1,2,u59
3,1,"29.902878901921213,-90.02735710702837",1370208688.0,1,2,u59
2,1,"29.90302047226578,-90.02727027051151",1370416534.0,1,2,u59
2,1,"29.902890636585653,-90.02726105041802",1370514109.0,1,2,u59
2,1,Unknown,1370648556.0,1,2,u59
