,User,Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
450,u32,,,2013-04-13 07:41:24,4.0,1.0,1.0,1.0,
451,u32,,,2013-04-15 06:05:57,1.0,2.0,1.0,4.0,
452,u32,,,2013-04-18 20:59:23,3.0,2.0,1.0,2.0,null
453,u32,,,2013-04-21 20:00:17,3.0,2.0,1.0,2.0,"43.70587544,-72.2911665"
454,u32,,,2013-04-22 20:31:42,1.0,3.0,1.0,4.0,"43.7031993,-72.2904444"
455,u32,,,2013-04-24 21:18:00,3.0,3.0,1.0,1.0,"43.70392276,-72.28729666"
456,u32,,,2013-04-27 19:00:25,4.0,1.0,1.0,1.0,"43.71796947,-72.27247143"
457,u32,,,2013-04-25 18:57:52,4.0,1.0,1.0,1.0,"43.70608389,-72.29104393"
458,u32,,,2013-04-28 18:30:01,4.0,1.0,1.0,2.0,"43.70301955,-72.29020739"
459,u32,,,2013-04-29 17:52:04,1.0,3.0,1.0,4.0,"43.70374615,-72.29053936"
460,u32,,,2013-04-30 18:59:11,4.0,2.0,1.0,1.0,"43.47216071,-71.99885894"
461,u32,,,2013-05-06 00:09:07,5.0,1.0,1.0,1.0,"43.70420319,-72.28854729"
462,u32,,,2013-05-27 06:29:07,1.0,4.0,1.0,3.0,"43.70582969,-72.29057957"
463,u32,,,2013-05-28 19:35:11,2.0,4.0,1.0,2.0,"43.70450738,-72.29025958"
464,u32,,,2013-06-01 06:03:53,2.0,4.0,1.0,2.0,"43.71929276,-72.27265728"
471,u33,,,2013-04-08 04:14:33,2.0,3.0,2.0,3.0,
472,u33,,,2013-04-09 06:06:02,2.0,1.0,1.0,4.0,
473,u33,,,2013-04-10 06:02:34,1.0,2.0,2.0,4.0,
474,u33,,,2013-04-11 06:25:55,1.0,2.0,1.0,4.0,
475,u33,,,2013-04-13 06:37:45,2.0,2.0,2.0,2.0,
476,u33,,,2013-04-12 06:10:20,2.0,1.0,3.0,2.0,
477,u33,,,2013-04-15 06:00:28,1.0,1.0,4.0,1.0,
478,u33,,,2013-04-14 06:10:20,3.0,2.0,3.0,2.0,
479,u33,,,2013-04-21 21:58:36,2.0,1.0,5.0,1.0,"43.70364552,-72.29593922"
480,u33,,,2013-04-22 20:00:18,3.0,1.0,3.0,1.0,"43.70377459,-72.29617515"
481,u33,,,2013-04-30 07:20:13,1.0,2.0,3.0,1.0,"43.70447388,-72.29152074"
482,u33,,,2013-05-12 01:57:29,2.0,4.0,2.0,1.0,"43.7026457,-72.29363404"
483,u33,,,2013-05-13 22:24:35,1.0,2.0,2.0,3.0,"43.70416591,-72.29582511"
484,u33,,,2013-05-30 02:20:56,1.0,5.0,2.0,1.0,Unknown
488,u34,,,2013-05-15 02:56:13,3.0,3.0,4.0,2.0,"43.70778087,-72.284494"
494,u35,,,2013-04-12 07:36:10,3.0,1.0,3.0,2.0,
495,u35,,,2013-04-19 20:17:15,1.0,3.0,1.0,2.0,"43.7006735,-72.28884657"
496,u35,,,2013-05-06 23:55:04,1.0,4.0,1.0,5.0,"43.70696392,-72.28734398"
502,u36,,,2013-04-09 06:08:10,2.0,2.0,2.0,2.0,
503,u36,,,2013-04-10 06:17:12,2.0,2.0,2.0,2.0,
504,u36,,,2013-04-11 06:37:09,1.0,3.0,1.0,3.0,
505,u36,,,2013-04-12 07:14:51,1.0,3.0,1.0,3.0,
506,u36,,,2013-04-13 07:20:48,2.0,2.0,2.0,2.0,
507,u36,,,2013-04-14 02:32:24,1.0,3.0,1.0,3.0,
508,u36,,,2013-04-14 06:26:38,1.0,3.0,1.0,3.0,
509,u36,,,2013-04-15 23:15:29,1.0,3.0,1.0,3.0,
510,u36,,,2013-04-21 23:09:31,3.0,1.0,2.0,1.0,Unknown
511,u36,,,2013-04-22 21:14:10,2.0,2.0,2.0,2.0,"38.58404326,-121.50064231"
512,u36,,,2013-04-27 22:47:16,1.0,3.0,1.0,3.0,"43.70670851,-72.28709711"
513,u36,,,2013-04-28 17:37:42,1.0,3.0,1.0,3.0,"43.65167486,-72.30992168"
514,u36,,,2013-05-01 04:37:13,2.0,2.0,2.0,2.0,"43.7064439,-72.28686698"
515,u36,,,2013-05-17 00:26:36,2.0,2.0,2.0,2.0,"43.65178229,-72.30992795"
521,u39,,,2013-04-13 06:04:33,1.0,1.0,1.0,1.0,
522,u39,,,2013-04-13 06:04:38,1.0,1.0,1.0,1.0,
523,u39,,,2013-04-16 04:21:11,1.0,1.0,1.0,1.0,
524,u39,,,2013-04-24 18:52:33,1.0,1.0,1.0,1.0,"43.65167079,-72.31001806"
525,u39,,,2013-04-25 20:32:12,1.0,1.0,3.0,4.0,"43.70691563,-72.28615388"
528,u41,,,2013-04-09 05:48:23,1.0,1.0,3.0,3.0,
529,u41,,,2013-04-12 05:58:42,1.0,4.0,1.0,2.0,
530,u41,,,2013-04-11 06:36:31,1.0,3.0,1.0,4.0,
531,u41,,,2013-04-15 06:36:16,3.0,1.0,1.0,3.0,
534,u42,,,2013-04-15 06:43:11,2.0,3.0,2.0,2.0,
535,u42,,,2013-04-26 18:07:56,3.0,2.0,2.0,1.0,"43.65594983,-72.24928324"
536,u42,,,2013-04-21 20:01:09,3.0,1.0,3.0,2.0,"43.65886906,-72.24845008"
537,u42,,,2013-05-08 04:32:18,2.0,2.0,3.0,3.0,"43.65870667,-72.24851776"
543,u43,,,2013-04-08 04:07:18,4.0,2.0,1.0,1.0,
546,u43,,,2013-04-08 23:25:17,3.0,1.0,2.0,1.0,
549,u43,,,2013-04-09 06:22:39,3.0,1.0,2.0,1.0,
550,u43,,,2013-04-12 22:48:02,2.0,2.0,1.0,2.0,
551,u43,,,2013-04-10 19:52:43,1.0,2.0,1.0,3.0,
552,u43,,,2013-04-10 07:39:12,1.0,2.0,1.0,3.0,
553,u43,,,2013-04-11 06:03:27,1.0,2.0,1.0,3.0,
554,u43,,,2013-04-12 03:31:26,1.0,2.0,1.0,3.0,
555,u43,,,2013-04-12 06:12:22,1.0,3.0,1.0,3.0,
556,u43,,,2013-04-13 06:00:43,2.0,2.0,1.0,2.0,
557,u43,,,2013-04-14 19:54:22,4.0,1.0,1.0,1.0,
558,u43,,,2013-04-14 07:49:24,3.0,1.0,1.0,2.0,
559,u43,,,2013-04-15 02:13:40,4.0,1.0,1.0,1.0,
560,u43,,,2013-04-16 03:23:58,2.0,2.0,1.0,2.0,
561,u43,,,2013-04-17 23:23:30,1.0,3.0,1.0,2.0,
562,u43,,,2013-04-18 20:36:46,2.0,1.0,1.0,2.0,null
563,u43,,,2013-04-22 02:18:38,2.0,2.0,2.0,1.0,Unknown
564,u43,,,2013-04-22 02:18:33,2.0,2.0,1.0,2.0,"44.14926882,-69.83901713"
573,u44,,,2013-04-08 16:40:50,1.0,1.0,2.0,4.0,
574,u44,,,2013-04-09 07:03:27,1.0,1.0,3.0,3.0,
575,u44,,,2013-04-10 17:18:18,1.0,1.0,1.0,4.0,
576,u44,,,2013-04-10 06:35:43,1.0,1.0,1.0,4.0,
577,u44,,,2013-04-11 17:03:56,1.0,1.0,2.0,3.0,
578,u44,,,2013-04-12 17:57:36,1.0,1.0,3.0,3.0,
